customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1492-RRR14,Female,0,No,Yes,61,Yes,No,No,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (auto),33.02,2732.52,No
1492-RRR15,Male,1,No,No,2,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,115.95,70.69,No
1492-RRR16,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,24.87,386.12,No
1492-RRR17,Male,1,Yes,No,57,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,64.95,4999.14,No
1492-RRR18,Female,1,No,Yes,50,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (auto),34.55,4784.39,No
1492-RRR19,Female,1,Yes,Yes,51,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.07,3472.64,No
1492-RRR20,Female,0,No,Yes,23,No,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (auto),18.39,916.87,No
1492-RRR21,Female,1,No,Yes,50,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,21.59,2757.35,No
1492-RRR22,Female,0,No,Yes,39,No,No,No,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (auto),59.49,951.8,No
1492-RRR23,Female,1,No,No,43,Yes,No phone service,No,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (auto),87.68,3882.12,No
1492-RRR24,Male,0,Yes,No,10,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,41.74,2053.57,No
1492-RRR25,Female,0,No,Yes,48,Yes,No,No,No,No,No,No,Yes,No,Two year,No,Bank transfer (auto),43.92,3755.49,No
1492-RRR26,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,84.19,117.7,No
1492-RRR27,Female,0,No,No,65,No,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,29.8,2032.24,No
1492-RRR28,Female,1,No,No,47,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.14,4271.35,No
1492-RRR29,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.36,4515.31,No
1492-RRR30,Male,1,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.54,3007.98,No
1492-RRR31,Female,0,Yes,Yes,18,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (auto),30.19,3519.89,No
1492-RRR32,Male,1,Yes,No,16,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (auto),72.82,652.43,No
1492-RRR33,Male,1,Yes,No,5,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,107.02,4757.56,No
1492-RRR34,Male,1,No,No,12,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (auto),91.3,732,No
1492-RRR35,Female,0,No,No,28,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (auto),24.34,3150.57,No
1492-RRR36,Male,1,No,No,46,No,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,77.92,25.8,No
1492-RRR37,Male,1,No,No,36,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (auto),31.42,1901.19,No
1492-RRR38,Male,0,Yes,Yes,52,Yes,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (auto),92.36,755.85,No
1492-RRR39,Female,1,No,Yes,1,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (auto),64.04,4943.5,No
1492-RRR40,Male,0,Yes,No,8,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (auto),93.79,810.9,No
1492-RRR41,Female,0,Yes,No,17,Yes,No phone service,No,No,Yes,No,No,No,Yes,One year,No,Electronic check,51.35,3368.74,No
1492-RRR42,Male,0,Yes,Yes,70,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (auto),116.56,4751.05,No
1492-RRR43,Male,1,No,No,53,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,107.08,3255.06,No
1492-RRR44,Male,1,No,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (auto),46.49,1212.71,No
1492-RRR45,Male,0,Yes,No,71,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (auto),50.25,2793.31,No
1492-RRR46,Female,1,Yes,Yes,66,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,29.39,737.1,No
1492-RRR47,Male,0,No,No,63,No,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (auto),83.86,1402.49,No
1492-RRR48,Male,1,No,No,12,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (auto),45.52,2187.89,No
1492-RRR49,Male,1,Yes,No,27,Yes,No,No,No,No,No,Yes,Yes,No,One year,No,Electronic check,59.84,1102.8,No
1492-RRR50,Male,1,No,No,20,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,102.71,4749.66,No
1492-RRR51,Female,0,Yes,Yes,11,No,No phone service,No,No,No,No,No,Yes,Yes,One year,No,Mailed check,18.65,609.66,No
1492-RRR52,Male,1,No,Yes,45,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (auto),28.63,4973.33,No
1492-RRR53,Male,1,Yes,Yes,39,Yes,Yes,No,Yes,No,No,No,Yes,No,Two year,No,Credit card (auto),116.81,4698.92,No
1492-RRR54,Male,1,No,No,8,No,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,93.94,568.45,No
1492-RRR55,Female,1,Yes,No,36,No,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,100.23,3673.38,No
1492-RRR56,Female,0,Yes,No,53,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.18,3126.56,No
1492-RRR57,Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,35.21,1955.73,No
1492-RRR58,Female,1,No,Yes,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (auto),50.42,2804.47,No
1492-RRR59,Male,0,No,Yes,69,Yes,No,No,No,No,Yes,No,No,No,Two year,No,Credit card (auto),54.03,1858.42,No
1492-RRR60,Male,1,Yes,Yes,18,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,25.55,1816.49,No
1492-RRR61,Female,0,Yes,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,73.5,4817.73,No
1492-RRR62,Female,1,No,No,41,No,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (auto),30.95,1683.91,No
1492-RRR63,Male,1,Yes,Yes,70,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (auto),109.83,2472.39,No
1492-RRR64,Male,0,Yes,No,47,No,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,60.96,296.3,No
1492-RRR65,Male,1,Yes,No,69,Yes,No,No,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (auto),71.32,3909.09,No
1492-RRR66,Female,0,Yes,No,18,Yes,No,No,No,No,Yes,Yes,No,No,Two year,No,Electronic check,37.26,1254.28,No
1492-RRR67,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,76.66,2443.45,No
1492-RRR68,Female,1,Yes,Yes,4,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.66,4714.04,No
1492-RRR69,Male,0,No,No,72,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,One year,No,Credit card (auto),43.23,3822.48,No
1492-RRR70,Male,1,No,Yes,19,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,18.82,145.04,No
1492-RRR71,Male,0,Yes,Yes,57,No,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.17,4801.76,No
1492-RRR72,Male,0,No,Yes,21,No,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (auto),65.87,2013.29,No
1492-RRR73,Male,0,Yes,Yes,26,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (auto),67.94,3960.67,No
1492-RRR74,Female,1,Yes,No,71,No,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,52.03,2457.91,No
1492-RRR75,Male,0,No,No,10,Yes,Yes,No,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,58.06,1307.9,No
1492-RRR76,Female,0,No,Yes,16,No,No,No,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,32.49,4033.28,No
1492-RRR77,Male,1,No,Yes,64,Yes,No,No,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,113.54,2724.74,No
1492-RRR78,Female,0,No,Yes,17,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.76,1226.96,No
1492-RRR79,Female,0,No,Yes,55,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (auto),118.11,4845.82,No
1492-RRR80,Male,1,Yes,No,5,No,No phone service,No,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,70.34,969.19,No
1492-RRR81,Female,0,Yes,No,12,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,116.66,2557.06,No
1492-RRR82,Female,1,No,No,57,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (auto),111.29,2917.53,No
1492-RRR83,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Credit card (auto),19.67,854.95,No
1492-RRR84,Female,0,Yes,Yes,28,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (auto),32.21,3334.29,No
1492-RRR85,Male,0,Yes,Yes,18,Yes,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (auto),110.15,1565.92,No
1492-RRR86,Male,0,Yes,No,11,Yes,Yes,No,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,47.82,2954.53,No
1492-RRR87,Female,0,Yes,Yes,47,No,Yes,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (auto),46.14,1587.11,No
1492-RRR88,Male,0,No,Yes,3,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,77.26,89.94,No
1492-RRR89,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,83.1,4800.46,No
1492-RRR90,Female,0,Yes,Yes,71,No,No phone service,No,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,104.56,1857.56,No
1492-RRR91,Male,0,No,No,57,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,44.4,565.95,No
1492-RRR92,Female,0,No,Yes,32,Yes,No phone service,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,60.25,575.58,No
1492-RRR93,Male,1,No,Yes,11,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (auto),106.66,3473.98,No
1492-RRR94,Male,0,No,No,36,No,Yes,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (auto),66.72,1796.61,No
1492-RRR95,Male,1,No,Yes,24,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (auto),104.03,2819.2,No
1492-RRR96,Female,0,No,No,38,No,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,28.5,2736.21,No
1492-RRR97,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,44.4,4974.21,No
1492-RRR98,Female,0,No,Yes,22,Yes,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (auto),100.42,848.22,No
1492-RRR99,Male,1,No,No,24,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (auto),82.7,2948.59,No
1492-RRR100,Female,0,No,No,7,No,No,No,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,89.16,450.96,No
